,Time,Position,Symbol,Type,Volume,Price,S / L,T / P,Time.1,Price.1,Commission,Swap,Profit,Comment
0,2025.11.18 16:57:11,460153417,XAUUSD,buy,0.02,4070.4,4021.25,4145.88,2025.11.19 18:27:00,4071.18,-0.14,-1.72,1.56,XAU_M5
1,2025.11.19 12:06:12,460652969,XAUUSD,buy,0.01,4117.87,4091.02,,2025.11.19 17:53:38,4090.75,-0.06,0.0,-27.12,Porfolio 1.2.3 with SL
2,2025.11.21 18:50:52,462383461,XAUUSD,buy,0.02,4090.26,4055.37,4147.94,2025.11.21 22:50:52,4055.26,-0.13,0.0,-70.0,XAU_M5
3,2025.11.24 16:56:20,463057748,XAUUSD,buy,0.02,4086.23,4050.27,4141.33,2025.11.25 01:07:01,4136.23,-0.14,-1.72,100.0,XAU_M5
4,2025.11.25 19:33:58,463899736,XAUUSD,buy,0.03,4155.74,4124.1,4213.47,2025.11.28 18:31:05,4208.89,-0.2,-13.05,159.45,XAU_M5
5,2025.11.28 02:32:58,465164684,USDJPY,buy,0.1,156.343,,,2025.11.28 04:31:27,156.229,-0.4,0.0,-7.3,USDJPY_Strategy_2_12_24
6,2025.11.28 16:18:59,463963740,XAUUSD,buy,0.01,4194.41,4158.12,,2025.11.28 23:00:00,4239.14,-0.06,0.0,44.73,Porfolio 1.2.3 with SL
7,2025.12.03 15:54:59,467889258,XAUUSD,buy,0.03,4236.09,4209.71,4277.46,2025.12.03 16:54:22,4209.64,-0.2,0.0,-79.35,XAU_M5
8,2025.12.04 18:17:18,468794671,XAUUSD,buy,0.03,4216.91,4189.01,4268.11,2025.12.05 18:11:36,4217.76,-0.2,-2.73,2.55,XAU_M5
9,2025.12.11 10:40:33,471866920,XAUUSD,buy,0.06,4218.94,4202.91,4247.34,2025.12.11 17:40:34,4247.38,-0.46,0.0,170.64,XAU_M5
10,2025.12.11 18:45:04,472208732,XAUUSD,buy,0.01,4263.43,4236.91,,2025.12.12 15:45:18,4338.65,-0.08,-0.91,75.22,Porfolio 1.2.3 with SL
11,2025.12.12 16:51:51,472742270,XAUUSD,buy,0.02,4346.16,4307.08,4363.61,2025.12.12 17:25:14,4307.07,-0.16,0.0,-78.18,XAU_M5
12,2025.12.12 16:52:09,472745919,XAUUSD,buy,0.01,4347.57,4307.13,4363.77,2025.12.12 17:25:14,4307.07,-0.08,0.0,-40.5,0
13,2025.12.15 08:45:32,473159996,XAUUSD,buy,0.06,4346.16,4331.74,4373.63,2025.12.15 15:59:43,4331.74,-0.46,0.0,-86.52,XAU_M5
14,2025.12.17 02:02:45,4742894...,USDJPY,buy,0.1,154.801,,,2025.12.17 03:37:26,154.629,-0.4,,-11.12,USDJPY_Strategy_2_12_24
15,2025.12.16 19:30:07,4742258...,NAS100,buy,0.3,25023.36,24803.42,25387.26,2025.12.17 16:42:01,25053.44,,-0.9,9.02,NQ_WF_Strategy_4_10_26_1_1
16,2025.12.17 12:32:14,4745230...,SP500,buy,1.0,6824.62,6790.06,,2025.12.17 16:44:16,6789.88,,,-34.74,SP_Strategy_5_8_16
17,2025.12.17 15:14:04,474614...,SP500,buy,1.5,6822.62,6790.19,,2025.12.17 16:44:16,6789.88,,,-49.11,0
18,2025.12.16 16:05:59,474039256,XAUUSD,buy,0.02,4318.07,4282.09,4359.19,2025.12.18 10:55:46,4322.81,-0.16,-7.28,9.48,XAU_M5
19,2025.12.18 18:02:11,475358421,XAUUSD,buy,0.03,4343.58,4312.93,4402.57,2025.12.18 19:06:17,4345.7,-0.24,,6.36,XAU_M5
20,2025.12.18 22:33:24,475477285,SP500,buy,2.0,6789.02,6754.94,,2025.12.18 23:49:04,6768.08,,,-41.88,SP_Strategy_5_8_16
21,2025.12.19 02:38:02,,USDJPY,buy,0.1,155.721,,,235.12.19 16:13:36,156.976,-0.4,,79.95,USDJPY_Strategy_2_12_24
22,2025.12.19 16:38:41,475842979,XAUUSD,buy,0.03,4337.04,4309.57,4381.06,2025.12.19 22:53:34,4339.29,-0.12,,6.75,XAU_M5
